indice_tiempo;empleo_registrado_priv_agricultura_ganaderia_pesca;empleo_registrado_priv_mineria_petroleo;empleo_registrado_priv_industria;empleo_registrado_priv_electricidad_gas_agua;empleo_registrado_priv_construccion;empleo_registrado_priv_comercio;empleo_registrado_priv_servicios;empleo_registrado_priv_total
1/7/2015;348350;90036;1299676;70331;472819;1160441;3141700;6583353
1/10/2015;347913;89022;1299253;70683;456569;1173175;3174728;6611343
1/1/2016;360956;87577;1295764;70981;422238;1186064;3183302;6606882
1/4/2016;349722;85172;1277920;71002;415834;1173155;3145443;6518248
1/7/2016;345562;83942;1264420;71455;420039;1174604;3133336;6493358
1/10/2016;357733;83344;1258273;71806;428839;1187232;3162804;6550031
1/1/2017;370129;81910;1259164;72626;435981;1196222;3184233;6600265
1/4/2017;355555;80570;1248167;72964;451026;1185998;3160676;6554956
1/7/2017;349182;80547;1240223;73582;467482;1190431;3177681;6579128
1/10/2017;359409;80627;1242561;74198;479627;1205358;3215404;6657184
1/1/2018;372912;80778;1245774;74635;477677;1215280;3234344;6701400
1/4/2018;359303;84044;1229595;74526;479643;1199079;3201442;6627632
1/7/2018;356699;84421;1207525;74414;472880;1189430;3189164;6574533
1/10/2018;370407;85747;1187810;74409;464487;1178950;3194907;6556717
1/1/2019;378812;87149;1182339;74569;469059;1175211;3196455;6563594
1/4/2019;371045;88323;1164925;74721;466611;1153371;3150913;6469909
1/7/2019;361861;89272;1153872;74675;456199;1147723;3148239;6431841
1/10/2019;362829;88984;1138808;74545;424982;1144868;3159545;6394561
1/1/2020;373456;88161;1141509;74155;390732;1149019;3157231;6374263
1/4/2020;357666;85854;1125392;73889;333515;1116373;3024885;6117574
1/7/2020;348522;83256;1131606;74004;331210;1112734;3012954;6094286
1/10/2020;350010;81853;1142189;74120;348143;1117439;3030934;6144688
1/1/2021;368732;83440;1158640;74438;360457;1128588;3053687;6227982
1/4/2021;364779;84097;1162577;74528;375283;1124277;3041674;6227215
1/7/2021;358141;84884;1162678;74573;392869;1125883;3048197;6247225
1/10/2021;6358116;;;;;;;
